,artist_individual,streams
438,Afo,230768
12771,The Dean,231001
4065,Esperanza Spalding,231629
7686,Lord Est,232275
12316,Suboi,232313
957,Anıl Bayraktar,232486
7246,LYRIQ,232498
7283,La Noche,232924
6047,Jessy Blue,233027
8817,Mfana Kah Gogo,233354
6854,Kibow,233466
12653,Tchubi,233560
13345,VASSY,233695
3937,Embody,233695
14725,Джизус,233732
14541,rOlfFa,233741
11057,Robleis,233984
7746,Los Vikings 5,233992
10276,Pedro Aznar,234105
4916,Grimes,234461
7387,Laura Voutilainen,234803
4934,Grupo Hechizo,234933
2903,Daffy,235002
10842,Rawan Bin Hussain,235002
12146,Spartz,235011
4928,Grupo Alegria,235081
12533,TVRNFLX,235115
1905,Bruno,235136
4451,Franklin,235136
3392,Djahboy,235326
12838,The Raptiles,235596
9909,Olivera,235609
8274,Majk,235886
13873,YUGYEOM,236300
1698,BlackLifeMusic,236720
12580,Tameem Youness,236762
9728,Nour El Tot,236928
13197,Tume,236936
12147,Spave,236939
3360,Dj Mode,237072
10289,Peking Duk,237365
689,Allame,237415
1699,Blacka,237642
2690,DJ B,237791
2835,DKB,237856
753,Amine SEMMA,237856
14045,Youp van 't Hek,238146
2020,CAPTOWN,238267
8512,Marzi Nyman,238828
8876,Mik,238828
7320,Laineen Kasperi,238828
14344,dlx,238866
11142,Rosi,238868
8734,Meeks,238869
6184,Jon Delinger,238988
14105,Z-Chen,239005
76,2PM,239332
9709,Nore Pierre,239362
7847,Luisito Ayala Y La Puerto Rican Power,239408
476,Ahmed Chawki,239646
8950,Miritza Lundberg,239801
8796,Merzi Lindgren,239801
13511,Viki Baltzar,239801
87,2latefor,239968
15021,陳粒,239971
8992,Mkeyz,240367
14211,Zhang Zhen Yue,240517
10279,Pedro Peligro,240525
13336,VACÍO,241208
2699,DJ BoBo,241626
8839,Michael Williams,241810
6200,Jonasz z Badyru,241948
5364,Huginn,242044
3546,Dualy,242176
9602,Nikone,242176
5150,Hard GZ,242176
9803,ODYDOZE,242238
3754,Eile,242356
13994,Yoon Mirae,242381
1058,Artwork Sounds,242452
10537,Prince Bopp,242482
3851,Elaine,242946
1267,BEZ OBMEZHEN,242978
7516,Lhast,243356
2657,DELA,243460
14222,Zild,243694
14433,juan karlos,243694
7136,L Loko,244027
3536,Drini,244027
8106,MIYEON,244107
4005,Enima,244140
5391,Hussain Ghazal,244282
10391,Piateed,244519
10931,Reo Manchs,244692
2938,Dan Andrews,244882
8522,Mashd N Kutcher,244882
751,Amine Matlo,245038
10634,Queen Bee,245464
13364,VLI WEEZY,245491
7148,L.Y.O.N,245594
11539,Sarkastinen,245730
6929,Kirka Rapitzin,245730
11164,Rozz Kalliope,245774
5958,Jay Menez,245839
6921,Kingz Daddy,245839
4726,Geo RVSD,245852
13172,Truwer,245881
14540,qurt,246104
10176,Panos Kiamos,246109
11790,Shinsei Kamattechan,246330
12998,Tof,246439
10535,Primo Beats,246603
2010,C3 Too Loose,246603
14144,Zae,246842
10241,Paul N Ballin,246842
5065,Ha Nhi,247197
5082,Hagoula Libyia,247202
3877,Elia Ramirez,247381
3576,Duo Rey Silva,247381
8438,Mario Catalán,247381
5430,ICEHOUSE,247855
8404,Mari Kraimbrery,247912
9119,Moshiko Mor,248010
11768,Sheldon Riley,248016
8914,Milioni,248251
9890,Oklou,248366
1236,BALKON,248508
10009,Oscar Zia,248640
14728,ЕГОР ШИП,248669
3661,EPMD,248746
14641,youra,248890
8732,Meego,248890
2525,Cosmic Boy,248890
3403,Djy Biza,248998
4643,Gabrielius Vagelis,249015
3521,Dreamme,249165
13740,Wiktor Bogdan,249165
5955,Jay Jay,249575
4064,Esmée Denters,249593
7693,Loreen,249610
857,Anet Sai,249619
8787,Mercedes Band,249685
14169,Zarfani,250446
5758,JOSVA,250573
2357,Chorale,250948
6504,KRBK,250981
4350,Five Finger Death Punch,250995
5382,Hunters & Collectors,251117
10224,Patrice,251175
701,Alpha P,251214
245,ALISA,251271
3412,Do,251312
12634,Tauro Boys,251408
3289,Dior,252358
14313,by infinit,252403
6960,Klaudia Szafrańska,252419
12710,Terminaator,252445
7737,Los Pikantes,252591
6489,KITAH,252698
11013,Ripen,252746
2306,Cherpen Band,252883
1276,BILIK,252908
3470,Dons,252938
13788,Wordz,253037
3748,Egzod,253067
1178,Aymane Serhani,253113
7094,Kuohu,253467
13592,Väinöväinö,253467
7182,LEO,253467
10320,Perry K,253531
6049,Jestinna Kuan,253531
9182,Mskuan,253531
13012,Tom Petty and the Heartbreakers,253543
7616,"Linh Thộn, Gia Nghi, Jay Bach",253627
2894,Daddy Cool,253954
2036,CHO JUNG SEOK,253982
10104,PLVTINUM,254155
12616,Tarro,254155
2865,DUO JEREMY,254373
139,707,254778
14157,Zakwe,254936
14161,Zamo Cofi,254936
4103,Evangeline Wong,255239
13786,Woo,255262
7070,Króli,255545
2578,Cubita,255796
4138,F.I.R.,255996
3646,ELMAN,256168
4912,Griffinilla,256227
6005,JenJoon,256596
7159,LABOUM,256645
5186,Hatim Ammor,256749
7110,Kwesi Arthur,256883
10182,Papa V,256928
9721,NorthSideBenji,257004
10881,Redo,257051
7138,L'Allemand,257627
13228,Tweezy,257814
9252,Mzweshper_sa,257850
4465,Fred,258037
6951,Kkuba102,258171
3567,Duke102,258171
9614,Nils Mikael Hætta,258463
9664,No Party For Cao Dong,258632
10680,RIO,258651
14742,Колос,258655
14818,الزمن الجميل,258749
7675,Lomosonic,258937
10604,Púr Múdd,259355
830,Andree Right Hand,259399
12400,Syc,259527
3617,Džordana Butkutė,259742
4314,Filatov & Karas,260021
4260,Fec Music,260103
1150,Aviv Geffen,260381
6927,Kirk Franklin,260746
11878,Silvia Infantas Y Los Condores,261092
6432,K-System,261233
9574,Nidza Afham,261356
1832,Boy Wonder,261548
7258,La Deskarga,261598
12681,Tehosekoitin,261830
12488,THØR,261881
1683,Bjørn,261881
4828,Glades,262056
10164,Paloma,262303
9216,Muscadine Bloodline,262422
57,2.clock,262634
4018,Eppu Normaali,262870
12866,The White Hair Cut,263854
12857,The Tragically Hip,264180
9087,Montell2099,264287
7257,La Demente,264307
8169,Maciek Janicki,264309
12221,Steez83,264309
155,8Yi,264363
6154,John Pollõn,264363
10989,Rida Radar,264824
4781,Gianni,264899
5632,Isso,265221
8495,Martin Lora,265233
3923,Eltee Skhillz,265518
12989,Tobe Love,265725
3528,Dremo,266228
9486,Nelson Tivane,266281
2815,DJ Tarico,266281
10519,Preck,266281
5118,Hamza15-3,266296
1956,Burak King,266868
3021,Darina Victry,267077
6043,Jessica LM,267242
13817,Xander Linnet,267542
1135,Australian Crawl,267575
13851,YEИDRY,267713
12969,Titiyo,267905
1516,Ben Adams,268046
5502,Iggy Pop,268082
9732,Novak808,268265
1377,Balcony Mix Africa,268316
1129,Aunty Gelato,268316
12458,TAEMIN,268319
5979,Jazzu,268546
4235,Farizki,268594
13709,Westlife,269073
8468,Markus Krunegård,269097
2418,Cielo Torres,269139
13610,WATTS,269160
13617,WEN,269278
4496,Fresto Music,269328
9424,Nath,269618
14833,سـعـداوى القطعانى,269689
3408,Dlala Regal,270342
14628,wvltz,270384
2359,Chris Abolade,270409
13177,Tshawe Baqwa,270423
296,ATC Toro,270564
8079,MELER,271063
9540,Nia Pearl,271332
11341,SOYOU,271404
9042,Molchat Doma,271448
4760,Ghareeb Al Mokhles,271529
6675,Kashi,271710
713,Always April,271817
1433,Bashaar Al Jawad,271817
605,Alex Bittman,271983
7175,LE RISQUE,272286
6312,Juhana Haukkala,272357
14749,Медовий Полин,272560
7808,Lucas Otero,272570
2716,DJ Espinos,272680
1841,Bragi Valdimar Skúlason,272703
13697,Welshy,272752
9699,Nonô,272752
5320,HoneyBeast,272784
13950,Yellow Claw,272787
8120,MONEYKEN,273198
11300,SHRTY,273289
14903,冰球樂團,273531
6972,Kløbbman,273610
4266,Feedbæck,273610
7016,Konuya Fransız,273687
9580,Night Off,273813
13401,Valerio Mazzei,274525
5748,JO YURI,274892
7777,Love Harder,275200
4570,GATTÜSO,275200
3816,El Madfaagya,275361
8542,Master Orbit,275575
5162,Harnol Gang,275575
12970,Tito Fernández,275598
14803,יושי,275971
10045,Ouz Baydar,276042
193,A1Roth,276109
5477,Ibanez Maeva,276272
6013,Jens Book-Jenssen,276626
10027,Othman Hamzah,276663
5596,Irina,276733
8605,Maustetytöt,277042
453,Agents,277042
1388,Banaba Des,277078
2610,C’Buda M,277078
11598,Sdida,277078
8322,Man T,277078
12240,Stelios Rokkos,277268
12698,Tenderlybae,277283
3085,Daybe,277283
1378,Ball Park Music,277493
237,AKRAS,277555
1340,Baby O,277555
4594,GJan,277656
3751,Eich,277916
8470,Marlku,277916
873,Anh Phan,278114
7356,Larria.,278114
14905,劉學甫,278228
13315,Unnsteinn,278396
4699,Gayla Peevey,278419
5604,Irwansyah,278443
11279,SEULGI,278515
3234,Didou Parisien,278882
782,Amy Gutierrez,278910
711,Alvaro Rod,278910
184,A-chess,279187
5650,Ivan Dorn,279247
14687,Đông Nhi,279358
1535,Benjamin Epps,279418
805,Anastacia,280032
889,Ann Bai,280060
4063,Esmeray,280110
13980,Yofrangel,280276
3801,El Experimento (Macgyver),280276
435,Aerro,280327
13445,Velvet,280370
7827,Lucky Ali,280568
5605,Isaac Kasule,280682
257,AMK,280967
12348,Sunset Rollercoaster,281085
3352,Dj Leska,281092
11683,Seven Binks,281234
6106,Jocelyn 9.4.0,281274
6967,Klikkmonopolet,281366
8957,Mishala Orth,281518
3048,Daughters of Reykjavík,281686
13967,Yishay Swissa,281922
14810,שם טוב האבי,281922
12585,Tamir Bar,281922
6657,Karl-Erik Taukar,282078
6980,Koatz DJ,282452
11608,Seba Roibal,282452
13493,Victor Nordis,282470
1757,Bob Sinclar,282686
5577,Intars Busulis,283791
10206,Parth Desai,283834
10649,R Nait,283959
8826,Mia,284303
4902,GrenBaud,284307
2204,CeaseTone,284359
10658,RAKEL,284359
8509,Mary J. Blige,284519
5825,Jaime Lorente,284987
12381,Svala,285012
3955,Emilie Omland Grimstad,285175
9527,New$oulz,285478
13027,Tommaso Cesana,285574
1234,BAHsick,285650
11765,Shekhinah,285669
871,Angioletto,285863
9390,Nasiimov,286105
6509,KTIZO,286113
7240,LUNA KI,286133
14733,Индаблэк,286247
14932,小春Kenzy,286285
6620,Kappa Jotta,286397
12054,Sofaz,286464
14664,Ässät,286485
9993,Ornella Vanoni,286540
11930,Siti Nordiana,286643
13471,Vez,286738
1987,Bâu,286882
5409,Híu,286882
13207,Turac Berkay,286888
1182,Aynur Aydın,286888
2302,Cheo Gallego,287017
3404,Djy Jaivane,287040
8525,Mashudu,287040
6621,Kappie,287040
779,Amu Classic,287040
12056,Sofi Marinova,287449
6544,Kafu Banton,287500
6566,Kaka WRLD,287613
11783,Shila Amzah,287705
11639,Sekumpulan Orang Gila,287705
13547,VisaGangBeatz,287719
12608,Taraannum Mallik,287876
12070,Sohail Sen,287876
6635,Kareem Kalokoh,287995
14555,sadovxq,288414
14867,ดิว จิรวรรตน์,288519
8720,Mduduzi Ncube,288520
9922,Olly,288859
7158,LA7,288934
11623,Seda Erciyes,289210
13038,Tone Damli,289234
3829,El Profesor,289244
2065,Caesar,289345
12809,The Magician,289439
7897,Lykke Li,289439
5205,Hector Pavez,289493
10975,Richard Reynolds,289528
13047,Tony Camargo,289651
14511,northfacegawd,289729
5304,Hoang Rob,290165
11419,Sajid,290814
1107,Astro Bunny,291005
7041,Kpri,291008
12963,Tiromancino,291057
85,2bona,291690
8115,MOBRICI,292070
12462,TAICHU,292086
11045,Roberto Roena Y Su Apollo Sound,292234
2174,Carter,292337
252,AM La Scampia,292421
9544,Nic,292421
5421,I.K (TLF),292421
11239,S.Téban,292421
9257,Mäk Gälis,292432
1886,Brokenspeakers,292579
1448,Basty Corvalan,292622
3931,Eman Lam,292672
12955,Tina Karol,292970
1404,Bandata Na Ruba,293224
13921,Yashraj,293334
3542,Dropped Out,293334
4411,Forsvarets Stabsmusikkorps,293373
9329,NOËP,293424
8390,Marcos Menchaca,293814
11658,Sensey,293847
9476,Nekoglai,293853
4360,Flesh Juicer,294097
7270,La Insuperable,294195
9076,Monkey,294798
11368,SVNV,295054
1945,Bula,295054
5040,HILLS 97,295146
2037,CHOCO,295579
12777,The Fillin,295579
5222,Heleza,295650
2233,Chain Trackz,295706
10348,Phantogram,295984
4536,Future Islands,295984
764,Amitabh Bachchan,296191
9446,Naxion Cross,296246
13159,TroutFresh,296262
10762,Rainsford,296643
6966,KlikKlak,297007
8164,Machario,297007
5751,JOJO AIR,297007
1887,Brokezart,297007
10014,Osirus Jack,297026
4690,Gatillero 23,297311
9375,Naomi Raine,297570
10266,Pawbeats,298173
4544,G-DRAGON,298182
11611,Sebastian Lara,298243
5094,Hajtkovič,298414
2278,Cheb Bilal,298770
12952,Timor YSF,299048
6381,Jupa Necasek,299139
2156,Carmen Soliman,299276
10205,Partenaire Particulier,299486
2112,Caner Özgür,299705
12612,Tarek & Zenci,299731
94,30Y,299762
3705,Eddy Joniel,299823
14660,Árabe,299823
6258,Jossimar,299823
5001,Gánster Nc,299823
8237,Magnus R Troy,299823
5839,Jalil Hamid,299944
4336,Fior 2 Bior,300036
12101,Song Min Young,300455
14834,سلطان الفهادي,300527
10443,Planeet,300739
10546,Prinzly,300913
13707,West,301027
2896,Daddy Was a Milkman,301041
13907,Yanitsa,301041
6829,Khaled abed,301061
351,Abida Parveen,301075
9388,Naseebo Lal,301075
7421,Lea Heart,301198
11089,Rokas,301301
2160,Carnival Youth,301319
5353,Hreimur,301514
8233,Magni,301514
14889,クボタカイ,301764
6900,Kimi,302516
6383,Juss,302533
2530,Costa Titch,302844
14258,Zuukou mayzie,303010
7415,Le RR,303304
14221,Zikxo,303304
3253,Dika,303304
5191,Hayce Lemsi,303304
7467,Lemon Haze,303304
10851,Raya Real,303363
11564,Sauzer,303464
8641,Mazen,303464
5914,Jarod,303464
13058,Tonyno,303464
3279,Dingo,303554
9247,Myra,303934
13376,VYRA,303943
3793,El Clooy,304132
9415,Natasa Theodoridou,304205
9014,Moha MMZ,304377
13432,Vazelina Bilopphøggers,304459
963,Apink,304653
5566,Inoki,304714
673,Alika Milova,304816
9711,Nori,305035
12306,Style,305155
11842,Sidhart Ji,305386
9542,Niaks,305482
13433,Veazy,305482
8938,Mino,305482
7491,Leon Somov,305642
12677,Tefo,306070
11624,Seda Tripkolic,306070
856,Anelia,306257
12635,Taurose,306476
11747,Shaun 101,306612
157,8ird,306866
10597,Pálmi Gunnarsson,307158
2063,Cabron,307288
14876,เนย ภัสวรรณ,307321
14869,พร จันทพร,307321
3789,El Chaval de la Bachata,307429
14349,eAeon,307563
10444,Plastic Plastic,307928
13337,VAGON,308228
3197,Dewa,308246
12011,Slowface,308282
12295,Strong R.,308511
12296,Strongi,308511
2577,Cuatro Pesos de Propina,309126
1080,Ashh,309203
3281,Dinky Kunene,309258
14744,ЛЯЛЬКА,309384
6825,Khakii,309439
8129,MR.BLACK,309500
9869,Offer Nissim,309500
5044,HLH flokkurinn,309787
195,A2 Di Fulani,309817
11974,Skroef 28,309943
8329,Mando Diao,310150
5445,IMMO,310320
391,Adecvat_production,310601
14052,Youv Dee,310765
8966,Mista Bombo,311119
14145,Zahara,311178
7064,Krovostok,311286
6899,Kimera,312553
3827,El Polaco,312575
863,Angela Hui,312880
2085,Calle 13,313079
14817,الدوجرى,313371
14826,حلقولو,313371
1938,Buerak,313418
2499,Conjunto Alerce,313532
9496,Neon 2,313827
7648,Liza Hanim,314178
881,Anis Suraya,314178
14788,кис-кис,314369
14899,五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩),314787
9825,OMI,314863
14159,Zamdane,314961
9917,Olle Jey,314965
12629,Tato el X5,314965
6595,Kamelia,315075
11522,Sara Lưu,315114
13755,William,315675
7803,Luca Il Sole di Notte,316279
6008,Jenna Raine,316756
13678,Waylon,316799
13754,Willem & Jan,316799
6444,K7 Estudio E.U,317012
4787,Giblack,317012
11857,Sigríður Thorlacius,317260
11038,Robe,317430
8959,Mishell,317490
6793,Kerchak,317544
9850,Obie Wanshot,317882
2342,Chirag,317932
7734,Los Niños Cantores De Navidad,318023
1011,Arios US,318061
832,Andrei Zevakin,318154
10394,Pidi,318428
6928,Kirka,319351
9820,OKEY,319560
2546,Crazy Design,319572
4767,Ghinwa,319765
10724,Rady,320114
4446,Frank Wild,320114
9594,Nikke Ankara,320218
2934,Damian Marley,320249
10856,Rayvanny,320315
14621,wayNN,320428
1454,Batusyex,320428
13736,Wiara,320428
14992,菲道尔,320739
1396,Banda Los Recoditos,320805
10313,Perikles,321088
1571,Berry Goodman,321120
5372,Human Nature,321405
12340,Sung Si Kyung,321478
7327,Lalo Rodriguez,322244
5850,James,322478
7497,Lesha Svik,322511
8255,Maian,322721
1584,Betti,322839
9780,Nági,322839
3453,Don Mills,323326
5408,Héctor Lavoe,323860
13989,Yomo Toro,323860
945,Antti Ketonen,324167
8939,Mintra A.,324422
1539,Benjamin Varney,324422
6468,KDZ,324468
7942,MAGIC!,324636
8539,Master CC,324820
10222,Pathetic,324846
3953,Emilie,324904
11185,Run–D.M.C.,324993
9016,Mohamed Al Shehhi,325043
7036,Kotiteollisuus,325071
9626,Ning Baizura,325309
2202,CeCe Trương,325516
2609,Cẩm Vân,325516
3894,Elisha Banai,325524
2774,DJ ONO,325648
10407,Pimtha,325648
5747,JO,325779
14953,李佳歡,325927
1971,Buster,326106
70,25K,326186
1179,Aymi,326464
5988,Jean-Jacques Goldman,326736
13152,Troniq Music,326793
6824,Khairil Johari Johar,327096
7496,Leo王,327434
14926,大支,327434
4470,Fredde Blæsted,327479
3500,Dr. Disco,327479
2303,Cheque,327934
4383,Fluor,328031
342,Abdullah Siddiqui,328216
13464,VessoU,328277
9380,Naqiu,328768
13415,Vanessa Reynauld,328768
6584,Kaliffa,328772
748,Amin Martinez,328894
4300,Fianso,328894
7635,Lisandro Meza,328920
5494,Ideal Sisters,329005
9773,Nya Shanell,329076
2496,CompincheMusic,329159
6446,KADI,329324
5097,Haki,329754
10207,PartyFriex,329893
11586,Schorre Chef,329893
13316,Uno Svenningsson,330372
12134,Soulful G,330419
2757,DJ Luke Nasty,330450
14132,Za3blawy,330557
3730,Edyta Bartosiewicz,330927
1639,Bilderbuch,331026
483,Ahmed Mohareb,331350
5058,HWANG JI SANG,331523
8524,Mashrou' Leila,331850
5835,Jakob Karlberg,332181
7647,Liz Kim Cương,332387
13136,Trinh Thang Binh,332387
8182,Mad Money,332499
10171,Pandilla Records,332539
2373,Chris Martin,332616
8104,MIYACHI,332638
8567,Matt Cab,332638
7747,Los de Ramon,332723
1749,Bo Kaspers Orkester,332921
9189,Mugison,332967
12212,Stavo,333076
3917,Elokuu,333098
9432,Natnael,333131
6374,Junior,333200
10239,Paul Kim,333219
415,Aditya Rikhari,333401
11895,SimonC,333937
13642,WUY,333937
6370,Jungelknugen,334315
1384,Balthazar,334349
14215,Ziana Zain,334986
1303,BODIEV,335028
2062,Caballero,335173
777,Amsyar Leee,335238
9165,Mr. Crazy,335298
6626,Karakoram,335359
1163,Axell,335575
5111,Hamid Elkassri,335695
13999,Yoskar Sarante,335820
464,Ah! Kosmos,336129
13633,WJSN,336226
11777,Sherman Smith,336283
4793,Gigi Tequila,336283
939,Antonio José,336338
3469,Donny Montell,336599
6778,Kenem,337099
10005,Osad,337328
13530,Vincenzo Da Via Anfossi,337386
3944,Emi Lo Zio,337386
2109,Caneda,337386
12660,Ted Bee,337386
376,Adaab Kharoud,337424
6180,JoliPoli,337546
6158,Johnny Cash,337632
5545,Inamos,337804
2280,Cheb Mami,338027
2239,Chandler Moore,338253
13389,Valdimar,338350
4253,Faux Contact,338480
2607,Cö Shu Nie,338822
327,Abde,339013
11742,Sharlota,339013
11197,Ruth Reginalds,339144
13134,Trickie Bonnie,339251
4580,GER,339351
3444,Don Choa,339351
530,Aketo,339351
12029,Sneazzy,339351
5447,INAS,339435
804,Anass Marbouh,339557
11901,Sina,339580
10356,Pherro,339580
4307,Figo Gang,339844
4573,GAZY MP,339988
10326,Pete Parkkonen,340089
1446,Basta,340118
10281,PedroH,340231
7947,MAMAMOO,340761
6412,JóiPé,340840
14872,วิน เมธวิน,340927
11734,Shanon,341458
12168,Spow,341593
13760,Willie Colón,341765
3121,Deen Burbigo,341793
15004,邰智源,342445
3290,Dioscures,342496
8242,Mahalia,342800
8367,Maor Cohen,343373
960,Aoi Teshima,343442
2909,Dahirvè,343480
1262,BEN plg,343549
14830,حوده بندق,343690
14856,محمود معتمد,343690
12984,To Eternity,343974
3267,Dimelo Bless,344334
6143,John Hidalgo,344377
8979,Miu Chu,344441
11222,Râu,344546
10901,Rejoz The GROOVE,344671
6499,KOLA,345197
11554,Sativa,345384
13002,Tokesick,345384
14775,Султан Лагучев,345602
5647,Ivan & The Parazol,345799
10330,Peter Lundblad,345845
10284,Peg Parnevik,345956
1113,Ataypapi,346043
7835,Luigui Bleand,346109
13427,Vassendgutane,346451
13566,Vivo,346877
3249,Digital Astro,346917
10434,Pixa,347248
9740,NseeB,347369
9975,Orang3,347552
11597,Sdala B,347552
9832,ONIRIA,347553
3550,Dubosky,347810
14272,aiko,347979
4613,GRAY,348025
14806,רוי סופר,348128
14423,inflexible,348159
3111,Deb Never,348172
12220,Steel Banglez,348344
9677,Nobuhle,348821
12152,Spens,348936
1850,Brasco,348936
1818,Boslen,349080
12776,The Exponents,349548
2229,Cha Eun Woo,350073
9958,Onguito,350101
4617,GRKM,350112
7726,Los Huasos Quincheros,350321
5230,Helyos,350471
12059,Sofia Källgren,350577
4982,Guus Meeuwis,350662
11138,Rosemaria,350907
5340,Houda Bondok,351120
1811,Boris Way,351280
14276,alyona alyona,351485
9444,Navy,351647
13104,Trave,351647
10401,Pikeras,351647
6639,Karen Gardelli,351815
3839,El Tom La Nota,351942
388,Addison Rae,352036
4561,GACHO,352180
3358,Dj Melzi,352281
11343,SP4K,352389
5433,ICON808,352878
9507,Nerry Money,353196
2177,Casadilego,353354
9684,Nogizaka46,353879
13774,Witness,353989
12911,Thuan Nguyen,354020
9136,Mount Kimbie,354074
1611,Big Fat Snake,354541
14623,whogaux,354781
2188,Cast Of 'Brødrene Mortensens Jul',354820
7044,Krabba Mane,355130
4905,Greta Zuccoli,355502
10612,QUEENDOM,355818
6495,KLØBB x FEED,355847
97,365LIT,356539
3274,Dimos Anastasiadis,356643
1865,Breskvica,356909
12849,The Shadow,357012
8620,Max Jenmana,357655
5912,Jardo SK,357697
5970,Jaykae,357788
8296,Malika,357788
9839,OT,358328
5833,Jake Reese,358328
4854,Gonzalo Castillo,358332
5845,Jamal Abdillah,358638
12724,Tflow,358781
10396,Pierrii,359365
10781,Ramiz,359410
6543,Kafon,359823
5496,Idi Akz,360294
480,Ahmed Helmy,361370
719,Amaal,361545
3448,Don Jazzy,362129
13469,Vetusta Morla,362638
4370,Floni,362898
5776,JUNG,363097
4050,Eros Ramazzotti,363543
4189,Fabio Rovazzi,363543
11481,Samuli Putro,363745
9681,Noell3,363829
14757,Нумер 482,363920
5582,Intim Torna Illegál,363943
4957,Guitarricadelafuente,364149
11870,Silky,364254
14072,Yung Filly,364520
4195,Fadel Chaker,364767
15032,高仰辰 Tipsy Kao,365160
2332,Chily,365221
8205,Madjuna,365314
10628,Quatro Vision,365432
1771,Bofplace,365432
11873,SillySJK,365432
4493,Freshlyground,365446
14087,Yuran,365624
13145,Trista,365624
2834,DJEZJA,365651
3985,Empyre One,365832
2729,DJ Gollum,365832
14315,bünny,365847
11646,Selim Salabim,365847
10010,Oscar and the Wolf,365964
13742,Wilbert Pigmans,366050
9971,Opgeblazen,366050
5164,Harper Finn,366177
5268,Hi Levelz,366341
11134,Rosc,366425
11562,Saules Berniukas,366502
14241,Zoliukas,366502
7215,LOLIWZ,366782
6864,Kiddly Puff,366927
2249,Chaos333,366989
657,Ali Saber,367366
44,18 Kilates,367666
5217,Helena Paparizou,367683
6756,Kelle,368024
7314,Ladysmith Black Mambazo,368082
12711,Terri,368485
11227,Röyksopp,368879
8423,Marie Madeleine,369318
14417,ilkekw,370012
13780,Wolf Alice,370096
11501,Sanjoy,370243
5407,"Héctor ""El Father""",370509
4644,Gabriella,370562
5296,Hitboy Kellz,370718
12370,Sus,370787
5461,ISSI,371141
9505,Nerissima Serpe,371330
10624,Quang Hùng MasterD,371886
6267,Jovani,372161
4087,Euroo,372226
12424,Särre,372499
10186,Paperi T,372499
310,AVGVSTVS,372556
6931,Kiro Akiyama,372605
12575,Talwiinder,372924
14180,ZeGuerre,373099
10943,Rethabile Khumalo,373319
9846,Oat Pramote,373606
3872,Elevation Worship,373704
8608,Maverick City Music,373704
6247,Joseph Vincent,373829
9992,Orla Gartland,373857
311,AVINCOLA,374648
5209,Heidi Klum,374979
13688,WeddingCake,374979
5457,ISEGYE IDOL,375084
2473,Cocktail,375664
56,2 Engel & Charlie,375754
2132,Cappuccino,375911
4751,Gestört aber GeiL,376250
5215,Hekje31,376613
1806,Boon Hui Lu,376864
3866,Elena Faggi,377336
15034,魏嘉瑩 Arrow Wei,377627
12392,Sweet John,377692
4099,Evan Naji,378117
10533,Prilla Generalen,378296
5438,IL MASSEO,378509
3029,Darleens,378589
6206,Jonne Aaron,378694
9795,O.G. Pezo,379042
6052,Jeune Rex,379106
249,ALP,379106
7431,Lebeey,379106
2918,Daks,379106
1239,BAMBI,379106
9246,Mynea,379205
330,Abdelbaset Hamouda,379378
11523,Sara Parkman,379493
13524,Vilma Flood,379493
5891,Janice,379493
10928,Renvto,379986
9020,Mohamed Kammah,380089
12308,Stylo,380198
8420,Marianoff,380240
11552,Sat L'Artificier,380988
13203,Tunisiano,380988
13529,Vincenzo,380988
7412,Le 3ème Oeil,380988
8289,Makiavel,381216
12465,TAZZ,381216
2858,DRIME,381216
7446,Leeraon,381336
8319,Mamis,381939
14151,Zain SA,382262
8906,Mikýř,382366
13993,Yoon Do Hyun,382763
9530,Newman,382836
745,Amewu,383054
284,ASD,383054
8739,Megaloh,383054
4759,Ghanaian Stallion,383054
9974,Or Noir,383216
11402,SafahMusic,383416
10620,Qmbia Juan,383805
472,Ahmed Abdo,383876
10721,Radio Bootsy,383999
13762,Willistic,384146
2340,Chip,384146
14332,datfitzx,384146
7792,Lu,384146
4434,Francis Cabrel,384153
9004,Mode XL,384318
14395,ghosty punk,384325
1828,Bousmaha Mohamed,384602
14277,amine la colombe,384602
6217,Jordan Knows,384613
8584,Matthew Clanton,384616
9501,Neptunica,384616
9038,Moja Reč,385030
2213,Celine Madelen,385060
7369,Lasse Berghagen,385528
4406,Foreigner.Flp,385846
930,Anthony Santos,386005
2244,Changbin of Stray Kids,386285
4538,Fynn Kliemann,386745
5948,Jax,386829
12478,THAT,387015
5522,Ilkan Gunuc,387272
9157,Mr Juve,387597
7791,Lsan L7or,388128
13293,Umair,388274
6812,Kevin Jenewein,388756
14786,дипинс,388807
1491,Bedjik,388833
9492,Nene,388833
6168,Johny,388975
6221,Jordani,389261
141,730,389488
911,Annural Khalid,389538
739,Amber Mark,389576
5804,Jack Orsen,389640
11219,RØNIN,389710
6684,Katarina Knechtova,389733
9470,Neha Nair,389755
3481,Doron Talmon,390310
14802,יוצרות את הבום,390310
1654,Bilton,390595
2910,Dai Verse,390783
8418,Marianne van Toornburg,390941
2163,Carolina Deslandes,391284
13463,Vesku Jokinen,391733
2707,DJ DAXSHADOW,392102
13348,VAYTO,392102
13685,We Are Domi,392567
632,Alexander Stewart,392680
551,Al Patch,392847
8873,MiiNa,392862
8774,Memfismafían,393057
8279,Major League,393422
6305,Jude Chiu,393591
8180,Mad Clown,393597
14122,ZODIVK,394116
11115,Ronel Beats,394185
8585,Matthew Marcantonio,394205
